Date,Europe,Asia,North America,Oceania,Latin America
2020-01-05,-16.320248138013216,6.6009473023598515,1.1711457280610893,-3.8592873142971986,48.02374121493252
2020-01-12,-12.081490431372373,5.572535937081998,-0.3541088105987241,-0.0876290464110573,45.27792458544359
2020-01-19,-22.312639740117437,-9.458218276151687,-10.124168477319955,-12.792254852110036,25.977521931363732
2020-01-26,-21.027616558127345,-14.780842684696587,-10.076009635507411,-11.58053643701556,23.95368552193535
2020-02-02,-25.022006404839768,-16.837620284375348,-16.35923954167724,-15.173653564467902,15.623958934091798
2020-02-09,-32.64069826438847,-31.262035832472368,-21.912477900146516,-22.671214298493165,3.8151271536311593
2020-02-16,-32.02008603489172,-33.786942007057775,-27.818374840596306,-25.888452456103433,-0.602600366709461
2020-02-23,-45.59069627569783,-47.13239972465131,-40.19233775599228,-37.949289654975274,-20.506785854797947
2020-03-01,-44.68701219117047,-43.96099582067756,-54.07790095250667,-37.238491224297164,-10.94470734132212
2020-03-08,-66.10437680444396,-64.20427668301626,-65.57551292534377,-56.946633902077146,-39.95211894090362
2020-03-15,-76.58370910464329,-76.84224806941009,-75.28820827209039,-63.93471579467976,-60.68161016619725
2020-03-22,-87.33189828493005,-83.74193046757392,-73.4442157771934,-75.53760825143524,-64.7439163407509
2020-03-29,-90.68288139937269,-87.12568204565267,-79.5498752183426,-85.77278033651416,-72.51991539072021
2020-04-05,-87.92206384331652,-87.93852921719495,-78.95964231507958,-88.22039698836413,-67.03070345899728
2020-04-12,-78.93903841674108,-79.49547921219678,-71.59655210048112,-76.17763068413656,-52.106476108366216
2020-04-19,-82.48355971420463,-66.25231677332845,-73.57781818952166,-61.72344973035712,-71.59604702234853
2020-04-26,-81.58885288427862,-76.89790882019506,-65.76874053027252,-72.81515288607393,-64.09524965606539
2020-05-03,-73.33403567347666,-68.627827954109,-66.84375780421219,-57.49144228625388,-79.24456541117463
2020-05-10,-70.82467017287225,-70.27911473772565,-58.24295161554092,-49.68239152698376,-55.46306911877876
2020-05-17,-65.68229228143448,-67.38594275193218,-40.01823519283933,-29.675099206349202,-67.63191611447795
2020-05-24,-61.86565036268421,-66.25725503741661,-39.568533278331884,-25.045793516259028,-66.98193388105564
2020-05-31,-42.390904786068184,-53.44585442583657,-19.42541292946602,3.5958090740062154,-51.325480516180555
2020-06-07,-49.63963201447983,-59.02888084720465,-21.754110342541104,-22.798344571230984,-54.81194364204445
2020-06-14,-32.72438016947808,-61.584060046170094,-11.227117604729038,-20.913416531625465,-49.70921696418697
2020-06-21,-17.783051268851892,-39.54323282188386,-3.7768105268115972,-2.437980911395909,-34.010084623712196
2020-06-28,-28.37181447919,-51.16244585516135,-19.938276706525095,-26.89858946850047,-48.172396509481246
2020-07-05,4.779968888437241,-3.6442061480714716,10.98663680942162,7.485404126089031,-3.2738313788468476
2020-07-12,9.42316358456743,0.03975514078593479,20.034284800578128,7.831024301612537,25.99048860155364
2020-07-19,-31.14622499818734,-52.9185584095823,-24.902879081871177,-35.81875604554407,-27.908717164388847
2020-07-26,-52.91951301230181,-66.15077524283444,-38.275564681724845,-62.37041418174052,-48.15658697880075
2020-08-02,-31.428028864413214,-58.148848311816856,-10.613488476390126,-50.081017642159466,-45.911231796991395
2020-08-09,-36.653841443791634,-58.5658121300354,-12.546810263091832,-50.624308016676466,-21.696550753923084
2020-08-16,-37.9618522039454,-56.214918405999505,-10.296820082809258,-38.13210808350627,-40.80176284563115
2020-08-23,-37.95234709264549,-57.27847491071295,-10.771849126034958,-36.49342710398373,-36.060996849116556
2020-08-30,-39.466063002093,-59.349912501940906,-5.21297342258041,-33.85448118826143,-22.914470504665864
2020-09-06,-41.524500472889656,-54.91890457655665,-10.374757173780319,-27.406528053109586,-26.855251969030565
2020-09-13,-46.249021595876066,-52.73432525008324,-5.269257610946491,-16.158386192568173,-13.331990289107342
2020-09-20,-41.428045191209314,-27.766881063066506,3.2448297783127966,-0.4940932357375001,-1.2676020905528895
2020-09-27,-57.63213264180423,-65.78977786401033,-22.021394649881806,-34.029791296911334,-31.937639198218264
2020-10-04,-42.739219033414386,-32.80976945384345,-4.623874989485883,-3.9369805693941955,-13.663761390005094
