Date,Europe,France,Italy,Spain,Great Britain
2020-08-02,-37.95107278501092,-27.639293013266826,-41.54210679894952,-36.00081174321856,-36.63143495385735
2020-08-09,-42.418126827864114,-33.133936840052996,-45.03128865222951,-44.28063602886396,-39.18894412870688
2020-08-16,-45.19349968066923,-35.95567176695834,-54.55490104324369,-51.019311424465805,-32.54665316497551
2020-08-23,-46.789088556038955,-38.281648469973014,-54.20599404101186,-56.17023311240741,-39.71995276311667
2020-08-30,-47.6003517659726,-36.895431375351336,-54.047511608935054,-57.5546723225266,-40.208075855501754
2020-09-06,-49.192307011148536,-39.193288756810304,-55.676491973824035,-60.57726490621845,-40.93724903328062
2020-09-13,-49.14284483299458,-43.02447906527685,-56.29631309237676,-59.47349257209438,-47.23891924172031
2020-09-20,-48.00054483991811,-42.197693388714875,-57.79192536935865,-56.41189389020752,-51.04465108486219
2020-09-27,-57.08749225246027,-52.92145675924181,-57.69661580271397,-63.41941278257281,-56.87308742719884
2020-10-04,-43.75039290668652,-39.75370046462888,-37.33030425664987,-56.402565353066066,-48.927216588819476
2020-10-11,-44.601116336903765,-31.936283808166703,-52.286722149939436,-56.76035016125848,-49.97682725115264
2020-10-18,-40.3923628100474,-26.878593298588115,-58.390922975195004,-46.60080793576501,-42.12306431653233
2020-10-25,-63.01887204448141,-65.6351018491224,-75.44640050298648,-70.0786891016289,-61.705572135235684
2020-11-01,-63.01141603391894,-70.68750455133792,-71.23520014333279,-70.2008311140273,-60.96463047103279
2020-11-08,-67.30399478434464,-64.72716547045522,-76.60208169590439,-70.90217260081646,-71.17282877257968
2020-11-15,-71.38666510032098,-71.55079246316429,-82.8346532585822,-71.94042320009702,-73.94859621166073
2020-11-22,-54.22073702335156,-44.49868159619705,-68.70130614980123,-53.411864948343805,-61.44251021189686
2020-11-29,-69.20847789729096,-57.947732030077894,-81.54314103677432,-69.75744433205394,-71.10392249296942
2020-12-06,-27.2663850969153,-22.20359143211642,-25.59359303752054,-35.22116298317138,-41.409382452902534
2020-12-13,-41.23675301176569,-24.879893723250397,-58.60094034786084,-49.90256056715721,-48.37672332285231
2020-12-20,-51.96550765830234,-36.57922320944924,-74.59248683319458,-51.70482332305244,-54.28055504061189
2020-12-27,-57.80201518018616,-47.41838707271883,-70.5247221004821,-59.804735607331324,-66.25621189158707
2021-01-03,-55.953992687547895,-38.77541342008792,-72.18059237304055,-68.13366792205002,-63.37412937715903
2021-01-10,-61.5279681172961,-43.155621228788704,-78.29456454093913,-72.8030370061389,-69.0150711190715
2021-01-17,-60.50246549411641,-45.52905048044979,-78.3363386390458,-73.77884416007583,-62.69381550867581
2021-01-24,-56.98764517116881,-47.775513495952694,-68.7440153427984,-67.42939654202453,-50.16586385531219
2021-01-31,-57.921186695124895,-34.08641839639209,-72.92410552571387,-73.53285918283376,-56.84257075471698
2021-02-07,-59.026496484701866,-26.196942054698226,-72.3013032430808,-71.99745801439506,-61.095903584663944
2021-02-14,-57.61432112844847,-19.178346561165657,-78.03198006913645,-70.84614116922107,-59.74408159288884
2021-02-21,-47.99637361203058,-27.793237430612592,-72.88713317220943,-58.03248256534859,-2.822066831918549
2021-02-28,-48.3839170787887,-30.518292210108406,-68.22232161686763,-58.85842717518326,-32.945316314217024
2021-03-07,-46.4754462383874,-19.05202298223371,-71.39040737320562,-49.674972537786616,-41.69682399902297
2021-03-14,-58.77690282587671,-40.93736869925862,-82.09402522561705,-59.037746810104075,-45.23276516639175
2021-03-21,-57.532391002078,-43.815310123987715,-82.09104705424424,-59.141550780934736,-33.77064950573874
2021-03-28,-66.33320888886041,-53.81689154051826,-83.78009718338234,-70.01199392462703,-48.139893607662124
2021-04-04,-59.59867407615691,-53.23616454572358,-78.33288794953397,-62.64986187609484,-30.234453595239312
2021-04-11,-50.48048274024646,-41.361220269992316,-71.3697252541152,-50.68864456453608,-22.494167677852957
2021-04-18,-49.37221077263788,-36.56556220503089,-66.79154566873048,-54.58922777878462,-32.432867434509134
2021-04-25,-42.35516346995992,-9.738432351778014,-64.77836851039298,-46.350267754506966,-27.648336074579223
2021-05-02,-33.66166165057166,1.2341576350881187,-54.02661845291195,-39.36945423703575,-25.603112355665754
2021-05-09,-31.00146638996802,0.44582665667934046,-48.55133863384899,-27.770204156094003,-22.369507860126202
2021-05-16,-33.13086118942501,-13.107040994627523,-46.01501193430274,-30.093193784382706,-32.47884855810023
2021-05-23,-37.99678150794527,-22.294941657386264,-47.706574486472114,-39.170979356500204,-40.68093163719598
2021-05-30,-27.558435335732284,-4.864169549559305,-37.0079758834256,-23.29337379361916,-31.466892797265718
2021-06-06,-33.61709010543876,-21.522219572303044,-44.4571060174416,-34.15957358063969,-29.309941946389173
2021-06-13,-19.51464367319212,-3.6099801649441488,-30.27907935839388,-16.900042799301577,-21.38145449778061
2021-06-20,-28.315750172154804,-22.011357644801326,-34.23532671996533,-31.18994801840877,-28.168942757305153
2021-06-27,-32.55118553549657,-24.807550814688046,-40.67786515285468,-32.938059634955614,-30.483160851193038
2021-07-04,-19.708704885714017,-8.955155152466341,-24.990068834374206,-25.88183114441027,-24.85464457240915
2021-07-11,-24.119118411589717,-20.790288344208204,-30.237181106904792,-29.194688056052026,-29.700909531548486
2021-07-18,-22.233022467618103,-18.24123287142628,-24.568909961333087,-27.92022459222571,-23.953480831378823
2021-07-25,-33.32864346353585,-31.242778511541886,-41.981553294991166,-37.22549524726895,-27.962541044026
2021-08-01,-27.811396206803824,-21.761231771103954,-36.89057484680479,-24.42416965433268,-19.233348045970818
2021-08-08,-27.48439101869617,-23.70824305103221,-36.44315632795958,-24.446667660018306,-19.825772169396533
2021-08-15,-32.5408761845695,-26.736578110413138,-44.804884986282765,-31.55873842930632,-20.39237567766779
2021-08-22,-28.995606365726704,-21.70588384731583,-38.174913828357774,-30.8673488153123,-22.030910549455847
2021-08-29,-30.4087215162911,-20.168453146586632,-40.600041345369434,-30.157734329049852,-22.80358746817405
2021-09-05,-31.85522552385113,-22.295033122833086,-41.552212092398904,-31.771610994980303,-21.431982933378617
2021-09-12,-32.970390353300616,-23.829187288740496,-46.00358260396354,-30.550538887270605,-22.750523423420223
2021-09-19,-36.627233630836166,-27.291261814219748,-48.94396044789036,-34.851823074657894,-27.331155231632735
2021-09-26,-35.481996788665775,-26.632058069342833,-47.20592555867717,-34.75173124070228,-26.953374354249615
2021-10-03,-33.51519753538446,-23.1805888381196,-46.49732349803171,-29.247445097557488,-25.61041221886769
2021-10-10,-14.397389895381242,2.076142977431921,-25.901509713311498,-10.746615766032603,-14.21847906861531
2021-10-17,-22.571407936505658,-5.616583642872911,-37.3578789066843,-18.256258321329412,-17.334191778989265
2021-10-24,-25.978936440097588,-11.912125466527437,-39.02011945928953,-24.01569150537485,-19.323821593557092
2021-10-31,-28.519477564691325,-15.072856642839188,-41.18906490287711,-26.043717112457703,-23.413190141814678
2021-11-07,-30.632173903290944,-17.278045423262217,-43.670110703455386,-28.223689799641406,-21.617446651920208
2021-11-14,-34.63417354945613,-24.271476705348455,-46.662382933607496,-33.55776443268639,-25.94626340950535
2021-11-21,-41.87277358517415,-33.50416875568678,-53.76646270967975,-41.99595271061881,-33.58357799336227
2021-11-28,-55.555933540822586,-48.0980316410777,-65.49951095551066,-54.608626972799954,-48.28714014012387
2021-12-05,-14.955588946840173,-10.07152727237752,-34.71610767770756,-27.551727308953804,-2.148385461681927
2021-12-12,-28.77592073457789,-18.22286894203381,-47.94416731706765,-36.26429699756265,-22.981485960553222
2021-12-19,-26.982257613958943,-18.19639955258215,-47.5674300034939,-31.194778265377316,-26.76539853206726
2021-12-26,-31.385884428555133,-25.213819846382414,-41.07374795808598,-31.418954689076006,-30.232527402812533
2022-01-02,-18.47440904046837,-7.041301698259058,-43.538195925012595,-27.428842466281,6.26688146705459
2022-01-09,0.48052786344402204,17.456885158828253,-31.74764862675105,-2.244047543808645,26.422486294216096
2022-01-16,9.595541268521856,16.195398216404154,-18.334960791244075,2.9769839154003375,24.91444422020791
2022-01-23,-17.68276834631607,-4.336970572666408,-34.60877243815279,-18.650189401042645,-5.609454997121997
2022-01-30,-2.2443083540569297,14.681603392438122,-19.995135633040437,-5.342318450724191,-0.9754979035639414
2022-02-06,-16.22384532610745,4.139189234425736,-28.15745223056499,-6.770892836741689,-0.965801955645923
2022-02-13,-32.8434949429542,-18.505953072811927,-42.13197064375365,-29.306836339144326,-25.961373722171643
2022-02-20,-22.917227655402208,-8.43034983872536,-34.68357054353408,-18.288286351158607,-17.42593778330026
2022-02-27,-13.0955069289193,-10.711488655572959,-31.695639175807237,-23.786253054286625,-16.27215028571604
2022-03-06,-23.524923223547844,-7.466216758413713,-31.070548294541773,-20.711027990600275,-12.20070320685466
2022-03-13,-30.59019159551748,-17.176315234080782,-38.23959805733754,-27.895053649044954,-13.661207551121935
2022-03-20,-30.218685272645672,-16.12536449913758,-37.14722437251532,-27.240252790556497,-12.52603993896371
2022-03-27,-33.646890677399874,-18.531400126078733,-40.91387127360505,-32.457070171719316,-15.448003237517668
2022-04-03,-21.89713286498143,-6.5182006510802015,-29.44796702540307,-17.174828326839744,-2.6647569355636263
2022-04-10,-23.016882485616026,-4.619315167852078,-29.82945458143768,-15.873553677006216,-7.472885806701253
2022-04-17,-26.895544506528772,-16.07298204641658,-28.602998922433475,-23.045460521873856,-17.292872456173107
2022-04-24,-25.864735261360384,-10.486969380288524,-35.56172533068571,-22.457383575854433,-12.400291243832196
2022-05-01,-25.326542418922237,-8.477535650484795,-31.603439212437873,-25.862800130783697,-14.08876692530284
2022-05-08,-23.87929815055666,-7.571847118055884,-29.91185459092386,-23.28573560873675,-8.47275122809247
2022-05-15,-14.68551950420559,2.4491667002326603,-21.264645476169427,-14.41282519166619,1.1269225041644877
2022-05-22,-28.390137847355877,-16.604099679784806,-33.28405938065265,-31.809197306585084,-15.587306533084867
2022-05-29,-18.483862419040555,0.8134331284036959,-23.413037406975405,-15.799541316561678,-14.707443537476617
2022-06-05,-25.37874664732624,-13.692821368948247,-34.42147356315831,-26.63769024764195,-10.997411409825718
2022-06-12,-9.317567776199592,9.914604864808435,-21.200773928609035,-9.28896346151661,9.048751709025527
2022-06-19,-18.362088433459167,-10.394578755845211,-25.720250782915254,-23.118233288083964,0.4486908962001384
2022-06-26,-22.61761600352024,-10.895297919441987,-33.99767344469778,-22.757002203512883,-2.9386275650919766
2022-07-03,-11.934014786204715,6.822372346732617,-24.142826442298297,-12.75928933005392,4.939119880297582
2022-07-10,-12.427048644022102,-1.4707555646233947,-25.001621158692426,-11.517137795884077,4.177002252444901
2022-07-17,-10.414735808841531,3.9388357342616156,-18.686015466764868,-9.249243636618502,4.958153644397848
