Date,North America,United States,Canada
2020-01-05,4.0728880412838855,0.06975557385584016,-4.0791907943110814
2020-01-12,3.2030003513807097,-2.0174483801793683,-2.4396704046039686
2020-01-19,-5.460709937265028,-10.237028990506266,-8.541048168685403
2020-01-26,-3.9425043086950127,-9.12380750355445,-4.693610914840534
2020-02-02,-12.428937114339798,-17.06833890198304,-10.865081394357794
2020-02-09,-18.86640641070698,-23.104952215282506,-20.062757403412434
2020-02-16,-21.63543096726936,-26.74458291438745,-22.050035201467
2020-02-23,-28.522008407053967,-32.81355228779747,-30.45347543390885
2020-03-01,-39.15239251815589,-47.603432519529314,-31.90959937755986
2020-03-08,-56.02687845342905,-60.176220032120476,-51.416093459984715
2020-03-15,-63.66997502656633,-65.20225057630728,-63.97205005262543
2020-03-22,-72.80677778848685,-73.03104881657251,-74.01164218341495
2020-03-29,-82.0482350403665,-82.4455560966818,-77.41208385694054
2020-04-05,-80.64061326029977,-82.19867764905815,-84.53235955964588
2020-04-12,-72.9590660718886,-77.93044847233735,-78.37916126556061
2020-04-19,-69.08357378210151,-66.7807419383814,-71.71186629837337
2020-04-26,-65.3103553516941,-67.34287524280921,-76.95981599242322
2020-05-03,-73.18287537625172,-68.26909028812128,-80.3604847765201
2020-05-10,-59.44374244215275,-56.78090738710976,-68.326912311897
2020-05-17,-43.00120834869174,-37.4210363259947,-60.417798825142974
2020-05-24,-51.17370951666152,-45.81751283720257,-58.65143510604716
2020-05-31,-35.36460171636598,-28.195360110401772,-47.36871380629531
2020-06-07,-37.82413964421573,-30.58775962476333,-49.54213744329548
2020-06-14,-26.577807485843678,-19.978848727112585,-31.361400691168246
2020-06-21,-23.025250912919777,-16.716147420463713,-16.654521503944842
2020-06-28,-26.86652793505701,-22.062324492814653,-29.317548281002452
2020-07-05,-11.853055462140105,-7.1670626387684555,-16.381201377375334
2020-07-12,-15.54615417009526,-9.442985462953303,-22.870983388662463
2020-07-19,-48.85781508793669,-42.746272113169184,-54.491532037774135
2020-07-26,-53.8923318339293,-49.399038116568335,-59.35008094010432
2020-08-02,-24.910737494831462,-16.257983643553047,-34.48950002952194
2020-08-09,-30.530750824036513,-22.878074227663827,-34.335928688126764
2020-08-16,-28.994587796716747,-22.303874934394422,-33.19455596866376
2020-08-23,-31.238715924673155,-24.78478516986848,-34.981706424703646
2020-08-30,-36.65761491071072,-29.803446728113485,-40.9495270465043
2020-09-06,-36.920384032939,-30.34375606225823,-45.65732494484844
2020-09-13,-30.001130788496944,-24.189530841625146,-41.78369790336766
2020-09-20,-23.672061033125956,-18.44081599042691,-39.79539815790368
2020-09-27,-43.00543370080341,-37.44942949358833,-55.304370483125574
2020-10-04,-27.198431889284937,-21.160029785181404,-46.378097608483934
2020-10-11,-13.224246834274572,-11.187657265703251,-34.26967793665642
2020-10-18,3.9585414390814413,0.9388785458901847,-14.475332298891402
2020-10-25,-32.1408306612052,-33.07617696386893,-42.5647244731088
2020-11-01,-21.529332274463307,-19.651729476568555,-30.376529738390563
2020-11-08,-16.435677970346624,-15.507331707180308,-31.135888639141925
2020-11-15,-39.78949740601259,-36.57523806485936,-49.353075215397105
2020-11-22,-31.604593592890566,-27.429078898004267,-46.444615089268574
2020-11-29,-51.54574638745982,-47.8932570510497,-64.29049880174455
2020-12-06,0.9569238925213217,7.500806020055774,-21.641085655128954
2020-12-13,-20.479052623526062,-14.85911069949648,-44.27174253614431
2020-12-20,-26.174341974055675,-20.78500430966301,-44.41996180708572
2020-12-27,-24.552769683374912,-18.82445079496018,-46.53767061255367
2021-01-03,-13.688776780049746,-8.333340862982492,-48.52030912658728
2021-01-10,-10.313396389015033,-3.642532325604231,-46.373243784150844
2021-01-17,-15.55120471346495,-8.75916986054727,-48.70792665937261
2021-01-24,-9.585865693964424,-2.1079062453543185,-44.566460989947004
2021-01-31,-12.366478599700075,-5.678556807032938,-42.59183499531237
2021-02-07,-14.834589702152917,-8.334548628779526,-43.3826894162254
2021-02-14,-13.12258879199743,-6.494660553900271,-44.65756340357254
2021-02-21,-11.288100508789821,-4.156424791782605,-44.43998698084216
2021-02-28,0.2272625629134744,8.1209700008205,-38.20960378161746
2021-03-07,7.421533852437008,14.228110429122037,-35.14066310004731
2021-03-14,5.458829954539249,14.666782778947244,-40.354198339375515
2021-03-21,2.591875457633068,11.829447244368499,-41.82519391602028
2021-03-28,-9.285593375360731,0.5810609227182262,-50.4358406638342
2021-04-04,-5.104754914011295,7.543606842392762,-53.45626776979775
2021-04-11,4.917992036482132,16.36175969222589,-50.26178768765072
2021-04-18,-5.691276580313681,5.0691138457239235,-54.15725007672777
2021-04-25,-10.487148447898198,-1.1818941599850403,-56.40508726829928
2021-05-02,-12.525328041574763,-2.659880273606117,-57.40136036861602
2021-05-09,-12.4097474150464,-2.778991900971096,-53.44397247192861
2021-05-16,-14.076777256438753,-5.320305085245853,-50.73752037885257
2021-05-23,-19.606377092574817,-13.457185217328416,-44.938265722436974
2021-05-30,-13.258170890352247,-5.972364766526924,-37.98693472926954
2021-06-06,-21.145793939753467,-14.121668627000975,-42.019103434673575
2021-06-13,-7.957058430334422,-1.890805230440895,-21.728780991439265
2021-06-20,-14.427282859511168,-9.515792607253557,-24.865819308006
2021-06-27,-14.10369675149134,-7.299511806991296,-30.201947952110057
2021-07-04,-10.581591643886245,-3.36125876355605,-25.921438592016326
2021-07-11,-19.574771874542527,-14.418854570046877,-30.50325360479253
2021-07-18,-16.432668256802963,-12.405747952066381,-24.60326751476365
2021-07-25,-22.00876846533302,-17.522274767254633,-27.72215227398392
2021-08-01,-19.827050950000878,-13.897015398214165,-29.59607423784188
2021-08-08,-23.082860568796484,-18.481920414164062,-27.104937554259777
2021-08-15,-25.769787265441785,-20.411492902648213,-31.755275001855615
2021-08-22,-21.978897988296193,-15.017960616479527,-26.904727059856576
2021-08-29,-29.012087966610157,-22.9846243776161,-34.93688366885881
2021-09-05,-27.63522184334081,-22.43259211753628,-33.53419397009559
2021-09-12,-25.3868265014341,-20.31306274860983,-30.609697279201065
2021-09-19,-29.161619814890784,-23.43462694464374,-36.58634401658566
2021-09-26,-28.05135183046321,-22.218720896448634,-36.15213724441519
2021-10-03,-25.26903088414713,-17.835141830852017,-36.164917216751434
2021-10-10,-2.8584030669666896,0.783191530471514,-17.62483852287407
2021-10-17,-7.34321747979199,-5.834365499998354,-17.182329737712887
2021-10-24,-8.766365571967377,-7.535042892237359,-22.57777042794407
2021-10-31,-5.8738789813550385,-1.4924954169248807,-17.70490897538606
2021-11-07,-4.760287267080746,-2.2994925281072143,-17.75503765921369
2021-11-14,-8.783135034938288,-6.442988037233698,-21.629683236677653
2021-11-21,-13.364167054913114,-9.718807964046878,-27.412171242081012
2021-11-28,-31.481026622327768,-27.9454814413718,-45.538917253390096
2021-12-05,26.825258791469413,31.311635605811322,5.861877541222187
2021-12-12,-3.5652892851447966,0.6859504572115948,-24.77731524998881
2021-12-19,0.8525862336407594,6.100352197928133,-22.75950482753095
2021-12-26,-3.8144727923244095,0.39612978621021516,-26.849434754349886
