NUTS2,Value
EL42,-6.332509115292736
EL43,-5.426304913005799
EL51,-19.707802300279763
EL52,-20.993325821270695
EL53,-60.29411764705882
EL54,-6.226415094339623
EL61,-11.960739557178726
EL62,-7.942097026604069
EL63,-33.744449925999014
EL64,-48.236551478446735
EL65,-31.48313176320815
ES11,1.593625498007968
ES12,-6.7782565462379845
ES13,-0.6330365974282888
ES21,-10.876042908224075
ES22,-21.618852459016395
ES23,-28.091397849462364
ES24,-25.438419673452934
ES30,-26.98963477022999
ES41,-18.73826511453248
ES42,-21.175908221797325
ES43,-4.919786096256685
ES51,-41.298297734296305
ES52,-24.257522469714733
ES53,-29.46978420868172
ES61,-19.060728262972276
ES62,-14.925807390165843
FI19,4.038461538461538
FI1B,-16.998294485503127
FI1C,-1.922306768121746
FI1D,-15.616766467065869
FI20,0
FR10,-9.530681963499516
FRB0,18.903682379752908
FRC1,13.572753329961222
FRC2,27.63605442176871
FRD1,-4.891331254022476
FRD2,16.37255827120883
FRE1,22.016460905349795
FRE2,34.57436103843832
FRF1,-8.197511039743075
FRF2,38.49364446974008
FRF3,15.055809233891427
FRG0,-3.7358307990047
FRH0,-11.211009174311927
FRI1,-25.094149472232534
FRI2,-0.09097111667045713
FRI3,-13.809352840858091
FRJ1,-16.932828760643332
FRJ2,-15.428571428571427
FRK1,0.6083015267175572
FRK2,-20.077660277594184
FRL0,-17.8304134074437
FRM0,-23.32279844849878
HR03,-31.561181434599156
HR04,-11.458333333333332
HU11,-44.47715496938295
HU12,-8.365758754863812
HU21,-14.006514657980457
HU22,-29.555997349237906
HU23,-38.8310648518815
HU31,-18.446601941747574
HU32,1.971326164874552
HU33,-28.484848484848484
IE04,-10.084477296726504
IE05,-10.926794085827623
IE06,-28.38255977496484
IS00,-23.47791484281735
ITC1,-30.994910687556132
ITC2,-46.45103324348607
ITC3,-28.308255826480412
ITC4,-27.68934188425714
ITF1,-37.75428265524625
ITF2,-32.70440251572327
ITF3,-17.597283604613562
ITF4,-42.3223647518126
ITF5,-37.293622531563614
ITF6,-51.12414467253177
ITG1,-43.1659249841068
ITG2,-38.46153846153847
ITH1,-0.5085823267641449
ITH2,-33.28194851240943
ITH3,-24.982927695375455
ITH4,-18.542399374755764
ITH5,-24.603817235396182
ITI1,-41.75665847935562
ITI2,-42.33818364274962
ITI3,-34.49635559804038
ITI4,-36.01571247636704
LI00,0
LT01,-54.00593471810089
LT02,15.863689776733256
LU00,-18.564527260179435
LV00,-14.850948509485097
ME00,0
MK00,0
NL11,6.094182825484765
NL12,5.439512619669277
NL13,1.9249278152069296
NL21,-17.003027245206862
NL22,-0.09590026372572524
NL23,-8.17391304347826
NL31,-22.066198595787363
NL32,-31.820168591945052
NL33,-31.706523507401986
NL34,44.377682403433475
NL41,-8.0463368816531
NL42,-11.509949278189621
NO01,-23.178807947019866
NO02,-14.219972388403129
NO03,-10.439024390243903
NO04,-2.9382716049382718
NO05,-7.778137128072444
NO06,-10.620012277470842
NO07,-20.373688251855643
PL21,-20.317508777285912
PL22,-5.930055752660922
PL41,-15.650296815974096
PL42,52.27347072293098
PL43,9.9644128113879
PL51,50.60317460317461
PL52,-41.17647058823529
PL61,60.8
PL62,8.344459279038718
PL63,19.763313609467456
PL71,65.23736600306279
PL72,-16.44359464627151
PL81,10.508474576271185
PL82,58.35051546391753
PL84,-37.51705320600273
PL91,6.011560693641618
PL92,39.83050847457627
PT11,-22.62635179871993
PT15,-20.454087797019735
PT16,-19.268797424695332
PT17,-35.25940734530681
PT18,-22.933573790201383
RO11,-12.139219015280135
RO12,-9.548521017125065
RO21,13.015873015873018
RO22,35.8188472095151
RO31,-23.98568019093079
RO32,-28.9380081300813
RO41,-23.404255319148938
RO42,8.006814310051109
RS11,0
RS12,0
RS21,0
RS22,0
SE11,-40.448020192459374
SE12,-16.527390900649955
SE21,4.295665634674923
SE22,-13.464447806354011
SE23,2.192729371032891
SE31,-1.6898608349900597
SE32,-14.167294649585532
SE33,-12.81437125748503
SI03,11.153017241379311
SI04,5.718378140149846
SK01,-43.39747843397478
SK02,3.571428571428571
SK03,4.0650406504065035
SK04,-13.34214002642008
TR10,0
TR21,0
TR22,0
TR31,0
TR32,0
TR33,0
TR41,0
TR42,0
TR51,0
TR52,0
TR61,0
TR62,0
TR63,0
TR71,0
TR72,0
TR81,0
TR82,0
TR83,0
TR90,0
TRA1,0
TRA2,0
TRB1,0
TRB2,0
TRC1,0
TRC2,0
TRC3,0
UKC1,32.981993851559075
UKC2,35.509065550906556
UKD1,23.779096303057965
UKD3,-18.2627688172043
UKD4,76.48095909732017
UKD6,-6.022187004754358
UKD7,-17.883046237533996
UKE1,46.76354029062087
UKE2,28.055009823182715
UKE3,16.879795396419436
UKE4,12.826822516148878
UKF1,30.119354083781886
UKF2,-16.056910569105693
UKF3,17.79261586802828
UKG1,4.9539406345957016
UKG2,18.744340476909148
UKG3,5.617108992527699
UKH1,2.781954887218045
UKH2,-10.705679862306368
UKH3,-3.4165948894631066
UKI3,-42.68168295792606
UKI4,-45.958449346755195
UKI5,-24.98946481247366
UKI6,-38.15911193339501
UKI7,-27.65848670756646
UKJ1,-6.75632404739033
UKJ2,-7.4257762076228
UKJ3,1.4044943820224718
UKJ4,12.852708803611737
UKK1,1.7165242165242165
UKK2,7.048192771084337
UKK3,8.078961798574301
UKK4,9.096702246296001
UKL1,5.787954072382999
UKL2,-19.73119024525426
UKM5,-17.199124726477024
UKM6,-10.324121460252474
UKM7,-30.58995268297594
UKM8,-22.326178682810493
UKM9,11.337488015340364
UKN0,-12.948430493273545
