Date,Latin America,Brazil,Mexico,Chile
2020-01-05,48.019375283934174,96.8034643979332,35.05232515584755,58.281878978579286
2020-01-12,45.278069468507475,80.48766231993626,43.06519439090881,57.50257934614034
2020-01-19,25.969628870337992,48.15970888474666,26.914010509275354,37.44500481382435
2020-01-26,23.94278562127805,44.67879727459491,29.742092073050674,32.96681205526495
2020-02-02,15.609020725611241,33.85412279962941,15.233299108525236,32.150831059290496
2020-02-09,3.815016923395731,10.536381139438422,1.781211995372705,11.207743710691824
2020-02-16,-0.5999520038396928,3.1309530289011045,-3.0390779145197238,3.520292819463882
2020-02-23,-20.505824028235995,-1.584189723320158,-24.918958344589118,-28.08193265956872
2020-03-01,-10.922174110011905,26.94963383649679,-31.28281690853651,-2.4816230520435165
2020-03-08,-39.93989297686152,-14.591329350162887,-53.57546984158221,-28.625884915592664
2020-03-15,-60.67662239933864,-54.50907254147725,-71.14293659621802,-70.30878859857482
2020-03-22,-64.74123588176228,-51.23198576927888,-62.97237478481843,-79.36902485659655
2020-03-29,-72.51698828497163,-54.52462346413001,-71.7152418930875,-86.62186927306048
2020-04-05,-67.0264809666948,-56.235729798964194,-42.15207960557651,-88.3712097233652
2020-04-12,-52.09622277935478,-54.56964006259781,-8.434367615487977,-73.32193909260411
2020-04-19,-71.58549774814767,-63.13581620532559,-87.45079662605436,-69.80860882063696
2020-04-26,-64.08253577871803,-58.11088912589566,-38.383415511520454,-72.46001881467544
2020-05-03,-79.23614356667011,-67.73864436493224,-88.55931559513137,-82.72033310201249
2020-05-10,-55.44547071084541,-41.281249077654145,-72.54509612106659,-55.944404846756946
2020-05-17,-67.62758680303168,-59.124393687359344,-71.91875160816721,-71.3097713097713
2020-05-24,-66.97033265275634,-64.9382049759836,-65.16291054634874,-77.48898180585377
2020-05-31,-51.31048899276346,-47.044948066672745,-48.09572639697281,-60.147651924260025
2020-06-07,-54.808360932030595,-52.75190692737547,-47.804597038999944,-56.922285126093676
2020-06-14,-49.69899844066323,-35.45777312147139,-41.415087542330134,-70.21913043478261
2020-06-21,-33.995924350219866,-53.2464120332359,-34.39470124301284,-81.8573300879985
2020-06-28,-48.17037115416934,-40.33384413309983,-33.10433409535481,-70.14070943234711
2020-07-05,-3.2579205740221773,23.44751328664677,9.320136679627666,-32.74639030034713
2020-07-12,26.001759550637836,43.927305535863894,34.7915698678771,-1.7208534417068835
2020-07-19,-27.900761862446583,-13.98997842068688,-28.414911257139348,-66.9851131168679
2020-07-26,-48.15514025315477,-32.807567356591015,-35.29580880238997,-73.84913400182316
2020-08-02,-45.91064673031886,-30.86918595907236,-23.955978063984208,-85.69065343258892
2020-08-09,-21.68966189503693,-24.419391452394464,-25.124550590652284,-83.39710530693728
2020-08-16,-40.790160932536146,-23.114316922683305,-17.475802931888783,-79.68994675853429
2020-08-23,-36.05851493273706,-14.700657120229458,-20.515026073866995,-77.16223855285472
2020-08-30,-22.90152080158241,11.126645823241885,-16.68150861041779,-74.25794436037714
2020-09-06,-26.85131529512153,2.795595306210538,-12.611332072765208,-76.29106539760517
2020-09-13,-13.33130811135535,22.37610234753447,-1.0523565529153904,-56.17300363378534
2020-09-20,-1.2543974647967027,22.773816329191362,2.9798543293760735,-58.98303141481311
2020-09-27,-31.930938736069436,-5.825556063580861,-19.114812341728296,-69.28533893851812
2020-10-04,-13.648322922324823,16.975297765874974,-3.0487214258039517,-56.25270653899822
2020-10-11,-6.709949245898761,8.873700964329183,7.546571960445189,-45.042784533230396
2020-10-18,41.330288288957384,56.870147180820815,54.258471012898966,67.03928123694108
2020-10-25,-17.006044160804954,-7.688652831277257,-17.457474226804123,-2.6123641083887716
2020-11-01,-19.486284085173715,-8.606719118671963,-12.409765593316571,5.278422273781903
2020-11-08,-20.608327630920687,-1.7424342915616533,-7.408831943075554,-6.557745634415049
2020-11-15,-26.289524325151387,-11.285316882084667,-13.233063209076176,-12.370191365684802
2020-11-22,-30.037419268926023,-16.783355023639686,-21.527437750044783,-26.923076923076923
2020-11-29,-60.21738289560206,-52.32944026470241,-53.26568920157262,-64.5897823233699
2020-12-06,0.021032315534220813,16.364492582999766,14.031038743912191,-36.54762777737039
2020-12-13,-27.090848753387704,-10.776096994128112,-12.365135852680337,-67.3888036809816
2020-12-20,-30.718612048469286,-12.547757892620147,-15.587873822204015,-68.3650404972688
2020-12-27,-52.594673818515744,-44.9500329240423,-42.58554544892024,-71.28808703395408
2021-01-03,6.302338093710598,75.01598037473434,-0.571418187197178,-4.467844618408519
2021-01-10,3.257403455634039,67.98069529471546,0.4306618171917611,-24.359942865662944
2021-01-17,-5.880831975092718,43.40010243761407,-5.265277793937418,-29.996302559663178
2021-01-24,-6.082272137304373,33.4065406242507,1.4926842819402355,-28.960991279072744
2021-01-31,-7.385020840196514,30.496364299952273,0.1939405792141332,-31.262713966757627
2021-02-07,-11.657802030807488,9.443202522322295,-2.613235250496841,-26.07114779874214
2021-02-14,-16.182705383569314,0.6803461601262722,-6.278300614629022,-23.979976316072772
2021-02-21,-6.860552884019093,10.98181818181818,8.359446755632396,-30.730151867264766
2021-02-28,-2.3725992182643783,-6.543117620684502,24.225362804762327,-37.04204645692443
2021-03-07,-0.5238966213597515,-17.20017409884066,34.22955820131851,-47.655351848490355
2021-03-14,-3.986532557506898,-23.475929595523954,35.99416017797552,-68.2695092984184
2021-03-21,-0.09454913256667913,-13.30099920786025,38.262699128343854,-75.23900573613767
2021-03-28,-23.1312886531203,-32.4440150614348,10.81691007706215,-78.85766646304215
2021-04-04,-19.84253414762512,-18.537339199198083,4.769383262747319,-81.56612014939546
2021-04-11,-0.3526510991857116,3.610328638497653,33.86566172950098,-77.51709136109385
2021-04-18,-3.94316292434099,0.5999188079808748,33.98000624804748,-77.40373704516227
2021-04-25,-1.3138414491088692,10.672815490228478,33.728718950600054,-68.25807463154594
2021-05-02,-4.2692152311847975,5.668836487476829,30.410734094120865,-64.61562186753027
2021-05-09,-0.6747712490137505,16.484165166317403,26.75085597403175,-52.48039914468995
2021-05-16,1.3830334796257953,12.672807839080782,31.35963916511526,-39.00527746681593
2021-05-23,-15.55232558139535,-6.089913109180204,17.283821432775692,-51.52559611255509
