Period,Achieved Occupancy,On the books Occupancy
35-2022,41.9882863690152,41.9882863690152
36-2022,NA,38.55500590737673
37-2022,NA,35.54289828532075
38-2022,NA,33.11426728972962
39-2022,NA,30.258498867401467
40-2022,NA,28.13399654600422
41-2022,NA,26.895914452624137
42-2022,NA,25.506965867256792
43-2022,NA,24.815398062241602
44-2022,NA,23.243396395435354
45-2022,NA,22.007772615550717
46-2022,NA,21.27351092096582
47-2022,NA,22.374540813553853
48-2022,NA,21.669236865548733
49-2022,NA,21.0269533633843
50-2022,NA,20.81702594209962
51-2022,NA,22.692531685014178
52-2022,NA,26.119279320329902
1-2023,NA,20.954773472922376
2-2023,NA,18.850235687271066
3-2023,NA,18.403223976061696
4-2023,NA,18.10224481227332
5-2023,NA,17.620954886242636
6-2023,NA,16.69783259976968
7-2023,NA,16.72483169756901
8-2023,NA,18.637178645130913
9-2023,NA,18.75228680161123
